Alpha,accuracy_mean,accuracy_std,inference_time_mean,inference_time_std
0.1,0.45200000000000000,0.007582875444051560,1.7084348397254900,0.007404447611842730
0.3,0.4740000000000000,0.006519202405202650,1.7805054817199700,0.01247609995010450
0.5,0.355,0.02669269563007830,1.9348597438335400,0.07918634511514940
0.7,0.40700000000000000,0.017888543819998300,1.664480010986330,0.10124109481242700
0.9,0.422,0.01604680653588120,1.755616327047350,0.012041543784954200
,,,,
implicit_tokens,,,,
1,0.42700000000000000,0.025884358211089600,1.7104514837265000,0.00800071029512835
2,0.45600000000000000,0.019493588689617900,1.7185469853878000,0.026386713302752400
3,0.087,0.021095023109729000,1.6789888164997100,0.08246215923997770
4,0.46300000000000000,0.019235384061671300,1.7558988904953000,0.004175159476767660
5,0.355,0.02669269563007830,1.9348597438335400,0.07918634511514940